NICKELMJUN2015,1,905.3,1,904.4,5,3,921.1,927.3,903.5,928.8,3888,2
ALUMINIUMMAY2015,1,119.35,1,119.3,5,3,120.25,121.35,118.8,120.6,3888,2
ALUMINIUMJUN2015,1,121.05,1,120.85,5,3,121.8,122.9,120.5,122.2,3888,2
NATURALGASMAY2015,1,188.2,1,188,5,3,187,190.5,183.2,187,3888,2
NATURALGASJUN2015,1,192.7,1,192.5,5,3,191.2,194.7,187.7,191.4,3888,2
GOLDJUN2015,1,27510,1,27503,5,3,27110,27568,27051,27167,3888,2
GOLDMJUN2015,1,27509,1,27508,5,3,27131,27569,27063,27180,3888,2
SILVERJUL2015,1,39487,1,39481,5,3,38280,39630,38253,38364,3888,2
COPPERJUN2015,1,417.1,1,417.05,5,3,418.7,420.7,414.4,419.35,3888,2
ZINCJUN2015,1,150.85,1,150.7,5,3,151.75,153.5,149.95,152.35,3888,2
CASTORSEEDMAY2015,1,3723,1,3680,5,3,3711,3720,3692,3681,3888,2
BANKNIFTYMAY2015,1,18129,1,18124,5,3,17725.5,18159,17648,17619.5,3888,2
NIFTYMAY2015,1,8257.4,1,8257,5,3,8180,8279.9,8096.05,8131.25,3888,2
CHARJDDELMAY2015,1,4560,1,4532,5,3,4571,4585,4512,4554,3888,2
GOLDAUG2015,1,27764,1,27754,5,3,27340,27803,27271,27411,3888,2
SILVERJUL2015,1,39487,1,39481,5,3,38280,39630,38253,38364,3888,2
GOLDMJUN2015,1,27509,1,27508,5,3,27131,27569,27063,27180,3888,2
COPPERAUG2015,1,421.9,1,421.6,5,3,422.65,425.35,419.2,424.2,3888,2
CHARJDDELJUN2015,1,4604,1,4599,5,3,4662,4677,4579,4652,3888,2
BANKNIFTYJUN2015,1,18189.95,1,18175.7,5,3,17731.35,18208,17705,17678.2,3888,2
NIFTYJUN2015,1,8284,1,8282.2,5,3,8199,8307,8126.1,8160.4,3888,2
CRUDEOILMAY2015,1,3900,1,3899,5,3,3900,3965,3876,3887,3888,2
